# Mapping of expected xml:ids to actual xml:ids
# Format: expected_id,actual_id
subsec-acceleration,subsec-acceleration
subsec-area-of-a-part-of-a-circle-in-real-life,subsec-area-of-a-part-of-a-circle-in-real-life
subsec-area-of-an-annulus,subsec-area-of-an-annulus
subsec-area-of-annular-sectors,subsec-area-of-annular-sectors
subsec-area-of-common-regions-between-circles,subsec-area-of-common-regions-between-circles
subsec-area-of-irregular-polygons,subsec-area-of-irregular-polygons
subsec-area-of-polygons-in-real-life,subsec-area-of-polygons-in-real-life
subsec-area-of-sectors,subsec-area-of-sectors
subsec-area-of-segments,subsec-area-of-segments
subsec-congruence-in-triangles,subsec-congruence-in-triangles
subsec-displacement-time-graphs,subsec-displacement-time-graphs
subsec-distance-and-displacement,subsec-distance-and-displacement
subsec-equations-of-mirror-lines,subsec-equations-of-mirror-lines
subsec-histograms-and-frequency-polygons,subsec-histograms-and-frequency-polygons
subsec-independent-events,subsec-independent-events
subsec-interpretation-of-data,subsec-interpretation-of-data
subsec-introduction-to-probability,subsec-introduction-to-probability
subsec-introduction-to-similarity,subsec-introduction-to-similarity
subsec-linear-motion-in-real-life,subsec-linear-motion-in-real-life
subsec-magnitudes-of-vectors,subsec-magnitudes-of-vectors
subsec-midpoints-of-vectors,subsec-midpoints-of-vectors
subsec-mutually-exclusive-events,subsec-mutually-exclusive-events
subsec-probability-in-real-life,subsec-probability-in-real-life
subsec-probability-spaces,subsec-probability-spaces
subsec-probability-using-tree-diagrams,subsec-probability-using-tree-diagrams
subsec-properties-of-rotation,subsec-Properties-of-rotation
subsec-properties-of-symmetry-and-reflection,subsec-properties-of-symmetry-and-reflection
subsec-reflecting-objects,subsec-reflecting-objects
subsec-reflection-and-congruence-in-real-life,subsec-reflection-and-congruence-in-real-life
subsec-rotating-objects,subsec-rotating-objects
subsec-rotation-and-congruence,subsec-rotation-and-congruence
subsec-rotation-in-real-life,subsec-rotation-in-real-life
subsec-similarity-and-enlargement-in-real-life,subsec-similarity-and-enlargement-in-real-life
subsec-sines-and-cosines-of-acute-angles,subsec-sines-and-cosines-of-acute-angles
subsec-speed-and-velocity,subsec-speed-and-velocity
subsec-statistics-in-real-life,subsec-statistics-in-real-life
subsec-surface-area-in-real-life,subsec-surface-area-in-real-life
subsec-surface-area-of-composite-solids,subsec-surface-area-of-composite-solids
subsec-surface-area-of-cones,subsec-surface-area-of-cones
subsec-surface-area-of-cylinders,subsec-surface-area-of-cylinders
subsec-surface-area-of-frustums,subsec-surface-area-of-frustums
subsec-surface-area-of-prisms,subsec-surface-area-of-prisms
subsec-surface-area-of-pyramids,subsec-surface-area-of-pyramids
subsec-surface-area-of-spheres,subsec-surface-area-of-spheres
subsec-tangents-of-acute-angles,subsec-tangents-of-acute-angles
subsec-trigonometry-in-real-life,subsec-trigonometry-in-real-life
subsec-trigonometry-using-tables-and-calculators,subsec-trigonometry-using-tables-and-calculators
subsec-vector-and-scalar-quantities,subsec-vector-and-scalar-quantities
subsec-vectors-in-real-life,subsec-vectors-in-real-life
subsec-velocity-time-graphs,subsec-velocity-time-graphs
subsec-volume-in-real-life,subsec-volume-in-real-life
subsec-volume-of-composite-solids,subsec-volume-of-composite-solids
subsec-volume-of-cones,subsec-volume-of-cones
subsec-volume-of-cylinders,subsec-volume-of-cylinders
subsec-volume-of-frustums,subsec-volume-of-frustums
subsec-volume-of-prisms,subsec-volume-of-prisms
subsec-volume-of-pyramids,subsec-volume-of-pyramids
subsec-volume-of-spheres,subsec-volume-of-spheres
